key,pressTime,releaseTime
8,1612774112776,1612774112845
1,1612774113249,1612774113296
2,1612774114235,1612774114301
3,1612774114986,1612774115033
6,1612774115709,1612774115766
4,1612774116122,1612774116176
8,1612774118443,1612774118503
1,1612774118762,1612774118834
2,1612774119288,1612774119344
3,1612774119640,1612774119713
6,1612774120552,1612774120602
4,1612774120852,1612774120916
8,1612774122157,1612774122226
1,1612774122417,1612774122473
2,1612774122814,1612774122877
3,1612774123142,1612774123207
6,1612774123456,1612774123520
4,1612774123713,1612774123768
8,1612774124852,1612774124914
1,1612774125122,1612774125194
2,1612774125379,1612774125442
3,1612774126054,1612774126109
6,1612774126781,1612774126850
4,1612774127806,1612774127847
8,1612774129371,1612774129430
1,1612774129827,1612774129881
2,1612774130196,1612774130260
3,1612774131015,1612774131068
6,1612774131513,1612774131578
4,1612774131891,1612774131963
8,1612774138632,1612774138691
1,1612774138989,1612774139053
2,1612774139320,1612774139390
3,1612774139616,1612774139688
6,1612774139930,1612774140003
4,1612774140160,1612774140225
8,1612774141338,1612774141395
1,1612774141521,1612774141593
2,1612774142796,1612774142846
3,1612774143014,1612774143069
6,1612774143389,1612774143446
4,1612774143590,1612774143638
8,1612774144293,1612774144353
1,1612774144529,1612774144593
2,1612774144735,1612774144791
3,1612774144952,1612774145006
6,1612774145567,1612774145631
4,1612774145690,1612774145788
8,1612774146185,1612774146250
1,1612774146367,1612774146438
2,1612774146612,1612774146677
3,1612774146821,1612774146893
6,1612774147027,1612774147091
4,1612774147208,1612774147282
8,1612774147678,1612774147735
1,1612774147876,1612774147948
2,1612774148215,1612774148270
3,1612774148404,1612774148469
6,1612774148628,1612774148692
4,1612774148793,1612774148873
8,1612774149270,1612774149334
1,1612774149560,1612774149632
2,1612774150409,1612774150464
3,1612774150616,1612774150686
6,1612774150863,1612774150934
4,1612774151068,1612774151133
8,1612774151604,1612774151676
1,1612774151794,1612774151866
2,1612774152015,1612774152080
3,1612774152240,1612774152304
6,1612774152513,1612774152576
4,1612774152720,1612774152783
8,1612774153147,1612774153186
1,1612774153345,1612774153409
2,1612774153551,1612774153607
3,1612774153748,1612774153813
6,1612774153955,1612774154022
4,1612774154145,1612774154217
8,1612774155320,1612774155371
1,1612774155719,1612774155793
2,1612774155982,1612774156038
3,1612774156188,1612774156253
6,1612774156404,1612774156477
4,1612774156582,1612774156634
8,1612774157397,1612774157474
1,1612774157616,1612774157705
2,1612774157773,1612774157837
3,1612774157972,1612774158035
6,1612774158178,1612774158233
4,1612774158384,1612774158448
8,1612774159158,1612774159214
1,1612774159390,1612774159470
2,1612774159563,1612774159628
3,1612774159777,1612774159842
6,1612774160001,1612774160058
4,1612774160198,1612774160272
8,1612774161398,1612774161457
1,1612774161601,1612774161681
2,1612774161824,1612774161896
3,1612774162038,1612774162094
6,1612774162302,1612774162374
4,1612774162510,1612774162558
8,1612774163611,1612774163661
1,1612774163779,1612774163842
2,1612774163960,1612774164015
3,1612774164165,1612774164230
6,1612774164382,1612774164445
4,1612774164570,1612774164634
8,1612774165564,1612774165632
1,1612774165742,1612774165822
2,1612774165932,1612774165988
3,1612774166147,1612774166204
6,1612774166353,1612774166399
4,1612774166577,1612774166607
8,1612774168813,1612774168889
1,1612774169024,1612774169104
2,1612774169230,1612774169285
3,1612774169445,1612774169508
6,1612774169643,1612774169707
4,1612774169849,1612774169905
